name,category,subCategory,launched,result,backers,country,pledged,goal,value
The Chapel on the Cliffs - A Horror Module for 5th Edition,Tabletop Games,Games,2017/06/06,successful,344,France,7627.79,1711.8,1
SLIDY - The best slim wallet that fits your needs,Product Design,Design,2017/06/06,successful,39,France,1271.3,1141.2,1
Hero Almanach,Mobile Games,Games,2017/06/06,failed,1,France,17.12,17118.01,1
HANDCOH: Redefining Luxury Fashion for Men,Apparel,Fashion,2017/06/06,successful,99,France,25172.61,22824.02,1
THE BIG GUY,Tabletop Games,Games,2017/06/01,successful,22,France,915.24,684.72,1
ATLAS OF OVEREXPLOITED TERRITORIES – BALTIC SEA,Academic,Publishing,2017/05/07,canceled,6,France,480.45,22824.02,1
Fluorescent dices,Games,Games,2017/06/28,canceled,6,France,68.47,1141.2,1
Space Pirates :::: Aventure Joe :::: Les Pirates de l'espace,Design,Design,2017/06/14,successful,39,France,6399.85,4564.8,1
Wopilo: a revolutionary pillow that will change your nights,Product Design,Design,2017/05/30,successful,1013,France,121495.66,22824.02,1
"Orcinus Orca of Simon Thompson, BATT's first edition",Zines,Publishing,2017/05/29,successful,195,France,12589.73,12553.21,1
Spin-R,Product Design,Design,2017/06/12,successful,19,France,2929.46,1711.8,1
YETI PAPER the best whiteboard in the galaxy!,Product Design,Design,2017/06/01,successful,130,France,7327.65,6847.2,1
Vintage 24h watches inspired by cosmonauts and explorers,Product Design,Design,2017/05/19,successful,148,France,26007.97,20541.61,1
Dans les Coulisses d'une Compagnie de Danse Novatrice,Dance,Dance,2017/05/14,failed,0,France,0,5706,1
The Carbon Leadership Book,Nonfiction,Publishing,2017/05/04,successful,35,France,8580.69,8559.01,1
"Le Galuchon, Smart & Urban Backpack for commuters",Design,Design,2017/05/25,successful,119,France,21048.31,11412.01,1
klaoos parasol : your new beach umbrella,Product Design,Design,2017/06/13,successful,56,France,5975.33,5135.4,1
"Oil'a, the unexpected révolution in Natural Hydration",Fashion,Fashion,2017/06/01,failed,2,France,62.77,3423.6,1
Ace needs a voice! Ace est sans voix !,Web,Technology,2017/05/22,successful,81,France,14316.36,11412.01,1
ROBI,Video Games,Games,2017/05/02,canceled,0,France,0,114.12,1
Palais de la Culture et des Arts,Public Art,Art,2017/06/16,failed,2,France,148.36,28530019.29,1
Corpo 35,Conceptual Art,Art,2017/06/01,canceled,0,France,0,3423.6,1
"Remember the Tennis Score, Always!",Product Design,Design,2017/05/31,failed,2,France,45.65,7988.41,1
The Scrooge Mystery - a feature duckumentary,Documentary,Film & Video,2017/05/25,successful,893,France,77364.28,28530.02,1
Box2Box is a Urban Soccer Game 100% Connected...,Technology,Technology,2017/05/23,failed,4,France,35.38,62766.04,1
(Nära Livet) AU SEUIL DE LA VIE - AVIGNON 2017,Theater,Theater,2017/05/21,successful,33,France,3988.5,3880.08,1
Reissue of the IBM Graphic Standards Manual by Paul Rand,Publishing,Publishing,2017/05/16,successful,1112,France,48843.39,31953.62,1
Shapeheart Armband | Heart rate tracking & easy phone access,Gadgets,Technology,2017/05/16,successful,666,France,69389.57,39942.03,1
Linocuts prints - limited edition,Illustration,Art,2017/05/02,successful,24,France,316.11,285.3,1
The Reciprocity Principle - Lazy Saviors,Rock,Music,2017/05/29,failed,15,France,587.72,3423.6,1
No Eyez On Me : World's first Smartphone camera cover,Gadgets,Technology,2017/05/29,failed,10,France,244.22,28530.02,1
SAOLA Shoes: Sustainable kicks that kick back.,Footwear,Fashion,2017/05/23,successful,363,France,38561.17,28530.02,1
101 console,DIY Electronics,Technology,2017/05/19,failed,18,France,1141.2,2282.4,1
ICEDIVER: The coolest invention since the ice cube!,Product Design,Design,2017/05/16,failed,28,France,941.49,21682.81,1
Historic Trip - Experience History in a Different,Webseries,Film & Video,2017/06/06,failed,1,France,11.41,171.18,1
"PRISM, le 1er sac à dos à SWITCHER selon vos activités",Product Design,Design,2017/05/23,successful,147,France,11774.91,11412.01,1
Swice clothing,Fashion,Fashion,2017/05/26,canceled,0,France,0,6847.2,1
Cosmo Connected - The First Connected Brake Light,Hardware,Technology,2017/04/26,successful,410,France,64081.85,57060.04,1
Domestic rat : Let yourself be tamed,Animals,Photography,2017/05/25,failed,6,France,107.27,798.84,1
"LVX Synthwave EP on CD, Vinyl, Cassette Tape",Electronic Music,Music,2017/05/24,failed,22,France,1326.24,4301.63,1
Limouzik : E-Polyphonic Live Instrument,Apps,Technology,2017/05/24,failed,29,France,2249.14,15642.28,1
Biscuits et cakes sans gluten fabrication artisanale,Small Batch,Food,2017/05/24,failed,0,France,0,11173.06,1
"Juic-e, the very first smart sunglasses",Wearables,Technology,2017/05/24,failed,72,France,23371.81,100557.54,1
Napoleon Saga : Waterloo,Tabletop Games,Games,2017/05/23,successful,674,France,48266.5,16759.59,1
Klipeasy - The ONLY clip you will ever need!,Product Design,Design,2017/05/23,failed,109,France,3723.98,11173.06,1
StarFlint: Sci-Fi adventure game,Video Games,Games,2017/05/09,successful,1081,France,41490.04,39105.71,1
Alien Invasion!,Tabletop Games,Games,2017/06/07,successful,48,France,1268.14,335.19,1
Anywayz - The Unsaid E.P,Music,Music,2017/05/23,successful,71,France,2934.05,2234.61,1
Clip Club Nautilus,Hip-Hop,Music,2017/05/23,failed,0,France,0,558.65,1
"Luna Park, a short film against Homophobia",Shorts,Film & Video,2017/05/23,failed,11,France,194.41,10055.75,1
Amplilib: 1er amplificateur sonore pour smartphone au monde!,Product Design,Design,2017/05/18,failed,1,France,33.52,111730.6,1
Woodstock Gemstones : We turn the raw stones into jewels.,Jewelry,Fashion,2017/05/18,failed,20,France,3011.14,12849.02,1
Paperplane: Send Augmented Reality messages to your friends!,Apps,Technology,2017/05/13,successful,134,France,11628.92,11173.06,1
PAC-MAN X ORLINSKI: The official sculptures,Gaming Hardware,Games,2017/05/22,successful,708,France,178575.66,33519.18,1
Make Professional 2d Games: Godot Engine Online Course,Video Games,Games,2017/05/22,successful,706,France,36326.53,8938.45,1
CHEN - THE SMARTEST PADLOCK FOR MODERN TRAVELERS,Technology,Technology,2017/05/16,failed,109,France,14880.28,67038.36,1
La Grande Machinerie du Petit N'importe quoi,Illustration,Art,2017/06/05,successful,206,France,8020.02,3910.57,1
Alliances of Games,Mobile Games,Games,2017/05/21,successful,2,France,896.08,558.65,1
Pia Imbar Artwork - drawing and painting sessions.,Performance Art,Art,2017/05/05,failed,2,France,64.8,1452.5,1
BOY,Anthologies,Publishing,2017/04/20,successful,153,France,7877.03,7821.14,1
"Pressage digipack de mon album ""Journée Ordinaire""",Music,Music,2017/06/09,successful,12,France,178.77,134.08,1
Une plongée avec Catherine Contour,Publishing,Publishing,2017/05/19,successful,46,France,2072.6,1675.96,1
Système coupure moteur drone avec option système parachute,Technology,Technology,2017/05/19,failed,2,France,178.77,3351.92,1
Typologie n°1 - La boule de pétanque,Product Design,Design,2017/05/18,successful,317,France,13263.54,4469.22,1
"Svalbard, an arcticficial life",Art Books,Publishing,2017/05/09,successful,125,France,19599.78,18994.2,1
Taggy - nous protégeons ce qui vous anime.,Technology,Technology,2017/05/04,failed,10,France,745.24,167595.89,1
European travel,Photography,Photography,2017/04/19,canceled,2,France,56.98,78.21,1
Teanoops a handy tool for tea lovers,Product Design,Design,2017/05/18,failed,76,France,1810.04,13407.67,1
Exorcise The Demons — A dark fantasy cooperation game,Video Games,Games,2017/05/18,successful,176,France,11526.13,11173.06,1
MAD'INSECT,Farms,Food,2017/05/17,failed,4,France,111.67,13958.68,1
Stereocap: 1st Customizable Headphones You Can Wear w/a Cap.,Wearables,Technology,2017/05/16,successful,80,France,34077.05,33500.84,1
Kawai Figure - A new french mangas figures manufacturer,Sculpture,Art,2017/04/17,failed,3,France,246.79,223338.92,1
Doct'Aura,Apps,Technology,2017/05/16,failed,0,France,0,27917.36,1
Bobby Badger Enamel Pin,Crafts,Crafts,2017/05/16,successful,60,France,1663.87,502.51,1
Fruit & Sea Turtles Enamel Pin collection,Accessories,Fashion,2017/05/04,successful,30,France,705.75,536.01,1
"edmgate.com, téléchargez gratuitement vos musiques préférées",Music,Music,2017/05/15,failed,2,France,67,1116.69,1
The City Clock - Paris design,DIY Electronics,Technology,2017/05/15,successful,466,France,57691.79,11166.95,1
The Salt Fortress - A dark exploration video game.,Video Games,Games,2017/05/12,failed,52,France,845.34,5583.47,1
LabyX,Video Games,Games,2017/04/30,failed,14,France,223.34,3350.08,1
Foxtrot Quarter airsoft/paintball,Games,Games,2017/04/16,canceled,1,France,27.92,5583.47,1
DOGOLRAX Amnesia (for FREE on Android Systems),Video Games,Games,2017/06/06,failed,1,France,1.12,558.35,1
Sketchbook : Monochrome Rainbow (Vol. 2.5),Illustration,Art,2017/05/19,successful,40,France,1752.09,279.17,1
Closest,Apps,Technology,2017/04/14,failed,0,France,0,1340.03,1
Hopen Family - The first smart object for your grandparents,Gadgets,Technology,2017/05/10,canceled,53,France,2716.92,22333.89,1
"Bellum, the English version!",Tabletop Games,Games,2017/05/30,successful,274,France,8548.3,3350.08,1
Les Anormaux,Immersive,Theater,2017/05/18,successful,59,France,3357.52,3350.08,1
SHE COMES IN TWOS - EP - Robin Darlington,R&B,Music,2017/05/12,successful,28,France,826.35,725.85,1
Dirty drawings of Mavado Charon,Illustration,Art,2017/05/12,successful,62,France,3471.8,2233.39,1
Free Libre OS USB,Software,Technology,2017/05/12,failed,7,France,257.96,2233.39,1
Omzlo One: Reinventing the Arduino with built-in networking.,DIY Electronics,Technology,2017/05/11,failed,30,France,3047.46,7816.86,1
Clash of Rage,Tabletop Games,Games,2017/05/17,successful,2363,France,254731.38,55880.28,1
World of Nyms - Action Adventure and RPG indie videogame,Video Games,Games,2017/05/02,failed,191,France,6657.58,44704.23,1
MobilSigne - Waste bins,Product Design,Design,2017/05/09,failed,1,France,67.06,1788.17,1
NATUREALLY : WHEN FASHION PROTECTS BIODIVERSITY,Ready-to-wear,Fashion,2017/05/09,failed,5,France,273.81,2235.21,1
Love At First Ride - Uku & Lily 1st album !,Country & Folk,Music,2017/05/04,successful,110,France,11692.39,11176.06,1
